TN Code,MC,LC,TN Raise Date,Exchange Type,Organization Name,Organization Type,Business Type,Issue Type,Earliest Start Date,Latest End Date,Internship Focus,Primary fow,Background in primary field of work,secondary fow,Background in secondary field of work,Languages,Skills,Workfield,Master Issues,Sub Issues,Link,entry_id
TN-In-AM-AR-2013-1277,ARMENIA,AIESEC YEREVAN,05-08-2013-11:21:14 AM,Global Internship,English Time,Educational Institution,Education (Others),,08-31-2013,02-28-2014,-,Teaching & Language Education," Advanced Teaching, Linguistics, Foreign Languages Education, Introductory Teaching",Cultural Education,-, English(Native),"Organisational Management,Project Management,Presentation skills,PC User Skills,Internet User Skills,Language Teaching","Teaching & Language Education,Cultural Education",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100198471,4932
TN-In-AU-WA-2013-1253,AUSTRALIA,AIESEC UWA,07-09-2013-01:18:23 PM,Global Internship,CVW Group Pty Ltd,Company,Information Technology (Computer) Services,,02-28-2014,02-28-2015,-,Accounting," Taxation, Financial accounting, Introductory accounting","Business Administration,Marketing"," Introductory Marketing, Introduction to Management / Business Administration", English(Native),"Organisational Management,Windows Operating Systems,Leadership skills,Marketing / Selling skills,MS Exchange,PHP","Accounting,Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100201742,770
TN-In-AU-CU-2013-12,AUSTRALIA,AIESEC CURTIN UNIVERSITY,14-12-2013-11:51:48 AM,Global Internship,Oolybooly.com,Company,Information Technology (Computer) Services,,02-02-2014,05-01-2014,-,Information Technology," Web Development and Management, Software Development and Programming, Database Management, Systems Analysis and Design",Marketing, Introductory Marketing, English(Native),"Driver's licence,Windows Operating Systems,HTML,Team Management,Project Management,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Microsoft Access,Photoshop,Javascript,PHP,Salesforce,PostgreSQL,MySQL,CSS","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100221889,2241
TN-In-AU-MO-2014-1239,AUSTRALIA,AIESEC MONASH,10-03-2014-04:52:57 AM,Global Internship,QA Software Pty Ltd,Company,Information Technology (Computer) Software,,03-10-2014,09-25-2014,-,Marketing," Retail + Sales Marketing, Advertising + Public Relations, Introductory Marketing",-,-, English(Good),"Windows Operating Systems,PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233823,2746
TN-In-AU-WA-2014-1258,AUSTRALIA,AIESEC UWA,13-03-2014-08:27:31 AM,Global Internship,Openet Ltd,Company,Information Technology (Computer) Hardware,,03-31-2014,04-30-2015,-,Information Technology, Network Management & Data Transmission,-,-, English(Excellent),"First Aid,TCP/IP,UNIX/Linux OS,Windows Operating Systems,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,PC User Skills,Internet User Skills,MS Exchange,LAN (local area network),WAN (wide area network),Voice - IP Telephony (VoIP),Client Servicing Skills",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100234965,2798
TN-In-AU-WA-2014-1259,AUSTRALIA,AIESEC UWA,12-04-2014-04:20:45 AM,Global Internship,Local Chambers of Commerce and Industry,Non Profit Organization,"NGOs, Foundations & Cultural Institutions",,08-03-2014,08-03-2015,-,Marketing, Advertising + Public Relations,"Business Administration,Communication & Journalism"," Introduction to Communications, Corporate Community Engagement, Public Relations, Event Management, Introduction to Management / Business Administration", English(Native),"Organisational Management,Windows Operating Systems,Team Management,Project Management,Leadership skills,Presentation skills,Marketing / Selling skills,PC User Skills,Mac User Skills,Adobe,Photoshop,Client Servicing Skills","Business Administration,Marketing,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100245010,9085
TN-In-AT-IN-2012-1341,AUSTRIA,AIESEC INNSBRUCK,17-12-2012-05:42:07 PM,Global Internship,LKW WALTER INTERNATIONAL,Company,Logistics and Transportation Services,,11-30-2013,12-30-2014,-,Business Administration," Transportation / Distribution Management, Industrial Management, Organisation Management + Planning",-,-," Bulgarian(Good), English(Excellent), Finnish(Good), French(Good), German(Good), Italian(Good), Portuguese(Good), Spanish(Good), Polish(Good), Danish(Good), Swedish(Good)","Organisational Management,Team Management,Project Management,Leadership skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills",Business Administration,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100157092,38
TN-In-AT-GR-2013-1357,AUSTRIA,AIESEC GRAZ,28-01-2013-09:55:59 PM,Global Internship,IDEC Internet - Database E-Business Center GmbH,Company,"Internet, ISP, Portals or Data processing",,12-01-2013,07-03-2014,Career planning,Information Technology," Database Management, Web Development and Management, Network Management & Data Transmission",-,-," English(Excellent), German(Basic)","UNIX/Linux OS,PC User Skills,Internet User Skills,Other Development Tools,Javascript,PHP,MySQL,Ajax,CSS,HTML 5,Drupal",Information Technology,Career Development,Career planning,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100161130,985
TN-In-AT-GR-2013-1358,AUSTRIA,AIESEC GRAZ,14-08-2013-09:01:13 AM,Global Internship,WEBTEAM GmbH,Company,Information Technology (Computer) Software,,08-18-2013,08-13-2014,-,Information Technology," Mobile Applications, Web Development and Management, Software Development and Programming, Database Management, Systems Analysis and Design",-,-," English(Basic), German(Basic)","HTML,Javascript,XML,SQL,Jscript,PHP,MySQL,Ajax,CSS",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100199350,1646
TN-In-AT-GR-2013-1359,AUSTRIA,AIESEC GRAZ,18-09-2013-03:57:36 PM,Global Internship,ISA logistics GmbH,Company,Information Technology (Computer) Software,,02-02-2014,12-30-2015,-,Information Technology," Web Development and Management, Software Development and Programming, Database Management, Systems Analysis and Design",-,-," English(Excellent), German(Good)","Windows Operating Systems,C,C++,Pascal,Microsoft SQL Server,Oracle,Database Design and Development Tools,Delphi,Visual C++,SQL,Process Engineering",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100203412,1782
TN-In-AT-GR-2013-1365,AUSTRIA,AIESEC GRAZ,19-11-2013-10:46:24 AM,Global Internship,Infonova GmbH,Company,Information Technology (Computer) Software,,01-31-2014,12-30-2016,-,Information Technology," Mobile Applications, Web Development and Management, Software Development and Programming, Mobile Technology, Database Management, Systems Analysis and Design",-,-," English(Excellent), German(Basic)","UNIX/Linux OS,HTML,Java,Oracle,Database Design and Development Tools,Javascript,XML,SQL,Eclipse,MySQL,Ajax",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100216731,2093
